FIR Number,Date and Time,Location,Latitude,Longitude,Accused Information,Accused email,criminal information,Incident Description,Crime Type
FIR2024213,28-10-2023 08:15,Chennai,13.0826802,80.2707184,Raghav Reddy,raghav@email.com,Kavita Kumar,Robbery at Gas Station,IPC 392
FIR2024214,28-10-2023 17:40,Bangalore,12.9715987,77.5945627,Shilpa Rao,shilpa@email.com,Vivek Gupta,Vehicle Theft,IPC 379
FIR2024215,29-10-2023 09:20,Hyderabad,17.385044,78.486671,Aditya Shah,aditya@email.com,Ritu Singh,Assault in Public Place,IPC 351
FIR2024216,29-10-2023 18:55,Pune,18.5204303,73.8567437,Ankit Mehta,ankit@email.com,Megha Sharma,Burglary at Warehouse,IPC 454
FIR2024217,30-10-2023 11:30,Jaipur,26.9124336,75.7872709,Kunal Das,kunal@email.com,Neelam Mehta,Robbery at Supermarket,IPC 392
FIR2024218,30-10-2023 15:15,Lucknow,26.8466937,80.946166,Shantanu Das,shantanu@email.com,Neha Gupta,Theft of Valuables,IPC 379
FIR2024219,31-10-2023 07:40,Delhi,28.7040592,77.1024902,Ravi Kapoor,ravi@email.com,Manish Kumar,Physical Assault at Park,IPC 351
FIR2024220,31-10-2023 16:25,Mumbai,19.0759837,72.8776559,Akshay Khan,akshay@email.com,Pratik Patel,Robbery at Jewelry Store,IPC 392
FIR2024221,01-11-2023 10:10,Kolkata,22.572646,88.363895,Suraj Das,suraj@email.com,Sunita Gupta,Burglary at Residence,IPC 454
FIR2024222,01-11-2023 19:45,Chennai,13.0826802,80.2707184,Sneha Reddy,sneha@email.com,Krishna Kumar,Theft of Electronics,IPC 379
FIR2024223,02-11-2023 08:30,Bangalore,12.9715987,77.5945627,Raghav Menon,raghav@email.com,Priyanka Desai,Robbery at Bank,IPC 392
FIR2024224,02-11-2023 18:00,Hyderabad,17.385044,78.486671,Naveen Menon,naveen@email.com,Swati Desai,Vehicle Theft,IPC 379
FIR2024225,03-11-2023 11:20,Pune,18.5204303,73.8567437,Pooja Reddy,pooja@email.com,Manoj Kumar,Assault in Market,IPC 351
FIR2024226,03-11-2023 16:50,Jaipur,26.9124336,75.7872709,Anil Kumar,anil@email.com,Geeta Sharma,Burglary at Shop,IPC 454
FIR2024227,04-11-2023 09:10,Lucknow,26.8466937,80.946166,Alok Mehta,alok@email.com,Priya Sharma,Robbery at ATM,IPC 392
FIR2024228,04-11-2023 18:35,Delhi,28.7040592,77.1024902,Sameer Khan,sameer@email.com,Kavita Patel,Theft of Valuables,IPC 379
FIR2024229,05-11-2023 10:00,Mumbai,19.0759837,72.8776559,Preeti Kapoor,preeti@email.com,Manish Kumar,Physical Assault at Pub,IPC 351
FIR2024230,05-11-2023 17:30,Kolkata,22.572646,88.363895,Kriti Rao,kriti@email.com,Sanjay Gupta,Robbery at Jewelry Store,IPC 392
FIR2024231,06-11-2023 08:55,Chennai,13.0826802,80.2707184,Shubham Reddy,shubham@email.com,Anita Kumar,Robbery at Electronics Store,IPC 392
FIR2024232,06-11-2023 19:20,Bangalore,12.9715987,77.5945627,Sneha Reddy,sneha@email.com,Krishna Kumar,Vehicle Theft,IPC 379
FIR2024233,07-11-2023 09:40,Hyderabad,17.385044,78.486671,Varun Rao,varun@email.com,Shilpa Singh,Assault at Market,IPC 351
FIR2024234,07-11-2023 16:15,Pune,18.5204303,73.8567437,Rohan Shah,rohan@email.com,Shilpa Singh,Burglary at Warehouse,IPC 454
FIR2024235,08-11-2023 11:10,Jaipur,26.9124336,75.7872709,Alok Mehta,alok@email.com,Priya Sharma,Robbery at Supermarket,IPC 392
FIR2024236,08-11-2023 15:45,Lucknow,26.8466937,80.946166,Sandhya Verma,sandhya@email.com,Rajesh Yadav,Theft of Electronics,IPC 379
FIR2024237,09-11-2023 08:25,Delhi,28.7040592,77.1024902,Anju Kapoor,anju@email.com,Rahul Kumar,Physical Assault at Mall,IPC 351
FIR2024238,09-11-2023 17:55,Mumbai,19.0759837,72.8776559,Akshay Khan,akshay@email.com,Monica Patel,Robbery at Jewelry Store,IPC 392
FIR2024239,10-11-2023 10:30,Kolkata,22.572646,88.363895,Shantanu Das,shantanu@email.com,Neha Gupta,Theft of Valuables,IPC 379
FIR2024240,10-11-2023 18:10,Chennai,13.0826802,80.2707184,Sneha Reddy,sneha@email.com,Vivek Kumar,Robbery at Electronics Store,IPC 392
FIR2024241,11-11-2023 09:15,Bangalore,12.9715987,77.5945627,Raghav Menon,raghav@email.com,Priyanka Desai,Robbery at Bank,IPC 392
FIR2024242,11-11-2023 19:50,Hyderabad,17.385044,78.486671,Kriti Rao,kriti@email.com,Sanjay Gupta,Vehicle Theft,IPC 379
FIR2024243,12-11-2023 08:50,Pune,18.5204303,73.8567437,Rohan Shah,rohan@email.com,Shilpa Singh,Assault in Public Place,IPC 351
FIR2024244,12-11-2023 17:35,Jaipur,26.9124336,75.7872709,Alok Mehta,alok@email.com,Priya Sharma,Burglary at Shop,IPC 454
FIR2024245,13-11-2023 11:05,Lucknow,26.8466937,80.946166,Sandhya Verma,sandhya@email.com,Rajesh Yadav,Robbery at ATM,IPC 392
FIR2024246,13-11-2023 16:45,Delhi,28.7040592,77.1024902,Preeti Kapoor,preeti@email.com,Manish Kumar,Theft of Valuables,IPC 379
FIR2024247,14-11-2023 10:15,Mumbai,19.0759837,72.8776559,Sameer Khan,sameer@email.com,Kavita Patel,Physical Assault at Park,IPC 351
FIR2024248,14-11-2023 19:30,Kolkata,22.572646,88.363895,Kunal Das,kunal@email.com,Ritika Gupta,Robbery at Office,IPC 392
FIR2024249,15-11-2023 08:40,Chennai,13.0826802,80.2707184,Pooja Reddy,pooja@email.com,Manoj Kumar,Robbery at Gas Station,IPC 392
FIR2024250,15-11-2023 17:20,Bangalore,12.9715987,77.5945627,Naveen Menon,naveen@email.com,Swati Desai,Vehicle Theft,IPC 379
FIR2024251,16-11-2023 11:30,Hyderabad,17.385044,78.486671,Varun Rao,varun@email.com,Kavita Gupta,Assault in Market,IPC 351
FIR2024252,16-11-2023 16:55,Pune,18.5204303,73.8567437,Rajiv Mehta,rajiv@email.com,Swati Verma,Burglary at Warehouse,IPC 454
FIR2024253,17-11-2023 09:45,Jaipur,26.9124336,75.7872709,Alok Mehta,alok@email.com,Priya Sharma,Robbery at Supermarket,IPC 392
FIR2024254,17-11-2023 18:20,Lucknow,26.8466937,80.946166,Shantanu Das,shantanu@email.com,Neha Gupta,Theft of Electronics,IPC 379
FIR2024255,18-11-2023 07:50,Delhi,28.7040592,77.1024902,Ravi Kapoor,ravi@email.com,Manish Kumar,Physical Assault at Mall,IPC 351
FIR2024256,18-11-2023 16:25,Mumbai,19.0759837,72.8776559,Akshay Khan,akshay@email.com,Pratik Patel,Robbery at Jewelry Store,IPC 392
FIR2024257,19-11-2023 10:10,Kolkata,22.572646,88.363895,Suraj Das,suraj@email.com,Sunita Gupta,Burglary at Residence,IPC 454
FIR2024258,19-11-2023 19:45,Chennai,13.0826802,80.2707184,Sneha Reddy,sneha@email.com,Krishna Kumar,Theft of Electronics,IPC 379
FIR2024259,20-11-2023 08:30,Bangalore,12.9715987,77.5945627,Raghav Menon,raghav@email.com,Priyanka Desai,Robbery at Bank,IPC 392
FIR2024260,20-11-2023 18:00,Hyderabad,17.385044,78.486671,Naveen Menon,naveen@email.com,Swati Desai,Vehicle Theft,IPC 379
FIR2024261,21-11-2023 11:20,Pune,18.5204303,73.8567437,Pooja Reddy,pooja@email.com,Manoj Kumar,Assault in Public Place,IPC 351
FIR2024262,21-11-2023 16:50,Jaipur,26.9124336,75.7872709,Anil Kumar,anil@email.com,Geeta Sharma,Burglary at Shop,IPC 454
FIR2024263,22-11-2023 09:10,Lucknow,26.8466937,80.946166,Alok Mehta,alok@email.com,Priya Sharma,Robbery at ATM,IPC 392
FIR2024264,22-11-2023 18:35,Delhi,28.7040592,77.1024902,Sameer Khan,sameer@email.com,Kavita Patel,Theft of Valuables,IPC 379
FIR2024265,23-11-2023 10:00,Mumbai,19.0759837,72.8776559,Preeti Kapoor,preeti@email.com,Manish Kumar,Physical Assault at Pub,IPC 351
FIR2024266,23-11-2023 17:30,Kolkata,22.572646,88.363895,Kriti Rao,kriti@email.com,Sanjay Gupta,Robbery at Jewelry Store,IPC 392
FIR2024267,24-11-2023 08:55,Chennai,13.0826802,80.2707184,Shubham Reddy,shubham@email.com,Anita Kumar,Robbery at Electronics Store,IPC 392
FIR2024268,24-11-2023 19:20,Bangalore,12.9715987,77.5945627,Sneha Reddy,sneha@email.com,Krishna Kumar,Vehicle Theft,IPC 379
FIR2024269,25-11-2023 09:40,Hyderabad,17.385044,78.486671,Varun Rao,varun@email.com,Shilpa Singh,Assault at Market,IPC 351
FIR2024270,25-11-2023 16:15,Pune,18.5204303,73.8567437,Rohan Shah,rohan@email.com,Shilpa Singh,Burglary at Warehouse,IPC 454
FIR2024271,26-11-2023 11:10,Jaipur,26.9124336,75.7872709,Alok Mehta,alok@email.com,Priya Sharma,Robbery at Supermarket,IPC 392
FIR2024272,26-11-2023 15:45,Lucknow,26.8466937,80.946166,Sandhya Verma,sandhya@email.com,Rajesh Yadav,Theft of Electronics,IPC 379
FIR2024273,27-11-2023 08:25,Delhi,28.7040592,77.1024902,Anju Kapoor,anju@email.com,Rahul Kumar,Physical Assault at Mall,IPC 351
FIR2024274,27-11-2023 17:55,Mumbai,19.0759837,72.8776559,Akshay Khan,akshay@email.com,Monica Patel,Robbery at Jewelry Store,IPC 392
FIR2024275,28-11-2023 10:30,Kolkata,22.572646,88.363895,Shantanu Das,shantanu@email.com,Neha Gupta,Theft of Valuables,IPC 379
FIR2024276,28-11-2023 18:10,Chennai,13.0826802,80.2707184,Sneha Reddy,sneha@email.com,Vivek Kumar,Robbery at Electronics Store,IPC 392
FIR2024277,29-11-2023 09:15,Bangalore,12.9715987,77.5945627,Raghav Menon,raghav@email.com,Priyanka Desai,Robbery at Bank,IPC 392
FIR2024278,29-11-2023 19:50,Hyderabad,17.385044,78.486671,Kriti Rao,kriti@email.com,Sanjay Gupta,Vehicle Theft,IPC 379
FIR2024279,30-11-2023 08:50,Pune,18.5204303,73.8567437,Rohan Shah,rohan@email.com,Shilpa Singh,Assault in Public Place,IPC 351
FIR2024280,30-11-2023 17:35,Jaipur,26.9124336,75.7872709,Alok Mehta,alok@email.com,Priya Sharma,Burglary at Shop,IPC 454
FIR2024281,01-12-2023 11:05,Lucknow,26.8466937,80.946166,Sandhya Verma,sandhya@email.com,Rajesh Yadav,Robbery at ATM,IPC 392
FIR2024282,01-12-2023 16:45,Delhi,28.7040592,77.1024902,Preeti Kapoor,preeti@email.com,Manish Kumar,Theft of Valuables,IPC 379
FIR2024283,02-12-2023 10:15,Mumbai,19.0759837,72.8776559,Sameer Khan,sameer@email.com,Kavita Patel,Physical Assault at Park,IPC 351
FIR2024284,02-12-2023 19:30,Kolkata,22.572646,88.363895,Kunal Das,kunal@email.com,Ritika Gupta,Robbery at Office,IPC 392
FIR2024285,03-12-2023 08:40,Chennai,13.0826802,80.2707184,Pooja Reddy,pooja@email.com,Manoj Kumar,Robbery at Gas Station,IPC 392
FIR2024286,03-12-2023 17:20,Bangalore,12.9715987,77.5945627,Naveen Menon,naveen@email.com,Swati Desai,Vehicle Theft,IPC 379
FIR2024287,04-12-2023 11:30,Hyderabad,17.385044,78.486671,Varun Rao,varun@email.com,Kavita Gupta,Assault in Market,IPC 351
FIR2024288,04-12-2023 16:55,Pune,18.5204303,73.8567437,Rajiv Mehta,rajiv@email.com,Swati Verma,Burglary at Warehouse,IPC 454
FIR2024289,05-12-2023 09:45,Jaipur,26.9124336,75.7872709,Alok Mehta,alok@email.com,Priya Sharma,Robbery at Supermarket,IPC 392
FIR2024290,05-12-2023 18:20,Lucknow,26.8466937,80.946166,Shantanu Das,shantanu@email.com,Neha Gupta,Theft of Electronics,IPC 379
FIR2024291,06-12-2023 07:50,Delhi,28.7040592,77.1024902,Ravi Kapoor,ravi@email.com,Manish Kumar,Physical Assault at Mall,IPC 351
FIR2024292,06-12-2023 16:25,Mumbai,19.0759837,72.8776559,Akshay Khan,akshay@email.com,Pratik Patel,Robbery at Jewelry Store,IPC 392
FIR2024293,07-12-2023 10:10,Kolkata,22.572646,88.363895,Suraj Das,suraj@email.com,Sunita Gupta,Burglary at Residence,IPC 454
FIR2024294,07-12-2023 19:45,Chennai,13.0826802,80.2707184,Sneha Reddy,sneha@email.com,Krishna Kumar,Theft of Electronics,IPC 379
FIR2024295,08-12-2023 08:30,Bangalore,12.9715987,77.5945627,Raghav Menon,raghav@email.com,Priyanka Desai,Robbery at Bank,IPC 392
FIR2024296,08-12-2023 18:00,Hyderabad,17.385044,78.486671,Naveen Menon,naveen@email.com,Swati Desai,Vehicle Theft,IPC 379
FIR2024297,09-12-2023 11:20,Pune,18.5204303,73.8567437,Pooja Reddy,pooja@email.com,Manoj Kumar,Assault in Public Place,IPC 351
FIR2024298,09-12-2023 16:50,Jaipur,26.9124336,75.7872709,Anil Kumar,anil@email.com,Geeta Sharma,Burglary at Shop,IPC 454
FIR2024299,10-12-2023 09:10,Lucknow,26.8466937,80.946166,Alok Mehta,alok@email.com,Priya Sharma,Robbery at ATM,IPC 392
FIR2024300,10-12-2023 18:35,Delhi,28.7040592,77.1024902,Sameer Khan,sameer@email.com,Kavita Patel,Theft of Valuables,IPC 379
FIR2024701,22-03-2024 09:30,Delhi,28.7040592,77.1024902,Ashok Sharma,ashok@email.com,Amit Patel,Theft of Mobile Phone,IPC 379
FIR2024702,22-03-2024 14:15,Mumbai,19.0759837,72.8776559,Ramesh Verma,ramesh@email.com,Vinay Kumar,Physical Assault,IPC 351
FIR2024703,23-03-2024 17:45,Bangalore,12.9715987,77.5945627,Radha Menon,radha@email.com,Gopal Singh,Domestic Violence,Protection of Women from Domestic Violence Act
FIR2024704,24-03-2024 08:20,Jaipur,26.9124336,75.7872709,Naveen Yadav,naveen@email.com,Rani Devi,Burglary,IPC 454
FIR2024705,25-03-2024 19:00,Chennai,13.0826802,80.2707184,Prakash Verma,prakash@email.com,Lalita Kumari,Robbery,IPC 392
FIR2024706,26-03-2024 22:30,Hyderabad,17.385044,78.486671,Anjali Sharma,anjali@email.com,Mohan Singh,Identity Theft,IPC 420
FIR2024707,27-03-2024 11:15,Kolkata,22.572646,88.363895,Ranjit Das,ranjit@email.com,Sumitra Gupta,Arson,IPC 435
FIR2024708,28-03-2024 07:30,Lucknow,26.8466937,80.946166,Aisha Khan,aisha@email.com,Alok Tiwari,Domestic Violence,Protection of Women from Domestic Violence Act
FIR2024709,29-03-2024 15:20,Delhi,28.7040592,77.1024902,Preeti Jain,preeti@email.com,Rahul Mehta,Corruption,Prevention of Corruption Act
FIR2024710,30-03-2024 13:45,Mumbai,19.0759837,72.8776559,Rohit Kapoor,rohit@email.com,Sima Agarwal,Environmental Pollution,Various Environmental Laws
FIR2024711,31-03-2024 16:25,Chennai,13.0826802,80.2707184,Aditya Verma,aditya@email.com,Deepa Sharma,Cyber Fraud,IT Act
FIR2024712,01-04-2024 09:15,Bangalore,12.9715987,77.5945627,Maya Reddy,maya@email.com,Santosh Kumar,Child Trafficking,IPC 370
FIR2024713,02-04-2024 12:30,Hyderabad,17.385044,78.486671,Kamal Singh,kamal@email.com,Rani Verma,Robbery at Jewelry Store,IPC 392
FIR2024714,03-04-2024 18:10,Kolkata,22.572646,88.363895,Meera Sen,meera@email.com,Arvind Kumar,Theft of Mobile Phone,IPC 379
FIR2024715,04-04-2024 10:40,Jaipur,26.9124336,75.7872709,Ravi Gupta,ravi@email.com,Sunita Verma,Physical Assault at Park,IPC 351
FIR2024716,05-04-2024 14:55,Delhi,28.7040592,77.1024902,Sumit Shah,sumit@email.com,Priya Das,Robbery at Bank,IPC 392
FIR2024717,06-04-2024 19:30,Mumbai,19.0759837,72.8776559,Neha Yadav,neha@email.com,Anil Tiwari,Robbery at Electronics Store,IPC 392
FIR2024718,07-04-2024 08:50,Bangalore,12.9715987,77.5945627,Vijay Reddy,vijay@email.com,Leela Nair,Theft of Valuables,IPC 379
FIR2024719,08-04-2024 11:10,Chennai,13.0826802,80.2707184,Rajesh Mehta,rajesh@email.com,Kavita Sharma,Burglary at Residence,IPC 454
FIR2024720,09-04-2024 16:45,Lucknow,26.8466937,80.946166,Mohan Das,mohan@email.com,Asha Gupta,Kidnapping of a Minor,IPC 363
FIR2024721,10-04-2024 13:30,Jaipur,26.9124336,75.7872709,Priya Singh,priya@email.com,Rahul Kapoor,Forgery of Documents,IPC 467
FIR2024722,11-04-2024 09:25,Delhi,28.7040592,77.1024902,Nikhil Sharma,nikhil@email.com,Megha Verma,Drug Trafficking,NDPS Act
FIR2024723,12-04-2024 08:15,Mumbai,19.0759837,72.8776559,Poonam Kapoor,poonam@email.com,Manoj Tiwari,Cyber Fraud,IT Act
FIR2024724,13-04-2024 14:20,Kolkata,22.572646,88.363895,Rajiv Gupta,rajiv@email.com,Geeta Das,Human Trafficking,IPC 370
FIR2024725,14-04-2024 10:55,Chennai,13.0826802,80.2707184,Shyam Kumar,shyam@email.com,Savita Reddy,Counterfeiting Currency,IPC 489-B
FIR2024726,15-04-2024 07:40,Bangalore,12.9715987,77.5945627,Ananya Das,ananya@email.com,Rahul Sen,Public Nuisance,IPC 268
FIR2024727,16-04-2024 17:15,Hyderabad,17.385044,78.486671,Raghav Sharma,raghav@email.com,Kiran Verma,Cyberbullying,IT Act
FIR2024728,17-04-2024 12:05,Pune,18.5204303,73.8567437,Sandeep Mehta,sandeep@email.com,Sonia Kapoor,Stalking and Harassment,IPC 354D
FIR2024729,18-04-2024 14:30,Jaipur,26.9124336,75.7872709,Tanvi Singh,tanvi@email.com,Arvind Das,Illegal Gambling,Various Gambling Laws
FIR2024730,19-04-2024 08:35,Delhi,28.7040592,77.1024902,Aditi Tiwari,aditi@email.com,Prakash Reddy,Child Abuse,IPC 370
FIR2024731,20-04-2024 10:20,Mumbai,19.0759837,72.8776559,Amit Verma,amit@email.com,Poonam Gupta,Money Laundering,Prevention of Money Laundering Act
FIR2024732,21-04-2024 16:50,Kolkata,22.572646,88.363895,Sunil Yadav,sunil@email.com,Neeta Sharma,Animal Cruelty,IPC 428
FIR2024733,22-04-2024 08:30,Chennai,13.0826802,80.2707184,Renuka Das,renuka@email.com,Vikas Mehta,Identity Theft,IPC 420
