REGISTERED DISTRICT,Registered PS,Latitude,Longitude,FIR Number,Accused Information,Accused email,criminal information,Incident Description,Crime Type,DateTime
KHULDABAD,ALLAHABAD,25.4343685,81.8250448,FIR2024129,Arun Khan,arun@email.com,Pratik Patel,Physical Assault at Pub,IPC 351,2023-11-05 10:00:00
KHULDABAD,ALLAHABAD,25.4343685,81.8250448,FIR2024130,Suman Das,suman@email.com,Shweta Gupta,Burglary at Office,IPC 454,2023-11-05 17:30:00
NAWABGANJ,ALLAHABAD,25.4358011,81.846311,FIR2024131,Shubham Reddy,shubham@email.com,Anita Kumar,Robbery at Gas Station,IPC 392,2023-11-06 08:55:00
SORAON,ALLAHABAD,25.6070169,81.8497567,FIR2024132,Priya Menon,priya@email.com,Suresh Desai,Vehicle Theft,IPC 379,2023-11-06 19:20:00
DARAGANJ,ALLAHABAD,25.4426551,81.8811628,FIR2024133,Varun Rao,varun@email.com,Kavita Gupta,Assault in Market,IPC 351,2023-11-07 09:40:00
GEORGE TOWN,ALLAHABAD,25.4518504,81.8551454,FIR2024134,Nandini Shah,nandini@email.com,Vikas Singh,Burglary at Warehouse,IPC 454,2023-11-07 16:15:00
CANTT,MORADABAD,28.8386481,78.7733286,FIR2024135,Deepak Mehta,deepak@email.com,Swati Sharma,Robbery at Supermarket,IPC 392,2023-11-08 11:10:00
CIVIL LINES,KAUSHAMBI,25.361054,81.4031707,FIR2024136,Pankaj Verma,pankaj@email.com,Priya Yadav,Theft of Electronics,IPC 379,2023-11-08 15:45:00
DHOOMANGANJ,KAUSHAMBI,25.46286,81.7951054,FIR2024137,Anju Kapoor,anju@email.com,Rahul Kumar,Physical Assault at Mall,IPC 351,2023-11-09 08:25:00
TANDA,AMBEDKAR NAGAR,26.5432647,82.6645469,FIR2024138,Akshay Khan,akshay@email.com,Monica Patel,Robbery at Jewelry Store,IPC 392,2023-11-09 17:55:00
TANDA,AMBEDKAR NAGAR,26.5432647,82.6645469,FIR2024139,Shantanu Das,shantanu@email.com,Neha Gupta,Burglary at Residence,IPC 454,2023-11-10 10:30:00
ALIGANJ,AMBEDKAR NAGAR,26.5371117,82.5740323,FIR2024140,Sneha Reddy,sneha@email.com,Vivek Kumar,Theft of Electronics,IPC 379,2023-11-10 18:10:00
ALIGANJ,AMBEDKAR NAGAR,26.5371117,82.5740323,FIR2024141,Raghav Menon,raghav@email.com,Priyanka Desai,Robbery at Bank,IPC 392,2023-11-11 09:15:00
ALIGANJ,AMBEDKAR NAGAR,26.5371117,82.5740323,FIR2024142,Kriti Rao,kriti@email.com,Sanjay Gupta,Vehicle Theft,IPC 379,2023-11-11 19:50:00
ALIGANJ,AMBEDKAR NAGAR,26.5371117,82.5740323,FIR2024143,Rohan Shah,rohan@email.com,Shilpa Singh,Assault in Public Place,IPC 351,2023-11-12 08:50:00
SANGRAMPUR,AMETHI,26.3212023,81.4636018,FIR2024144,Alok Mehta,alok@email.com,Priya Sharma,Burglary at Shop,IPC 454,2023-11-12 17:35:00
BAZARSHUKUL,AMETHI,26.511467,81.59448,FIR2024145,Sandhya Verma,sandhya@email.com,Rajesh Yadav,Robbery at ATM,IPC 392,2023-11-13 11:05:00
KAMRAULI,AMETHI,26.4965899,81.5569003,FIR2024146,Preeti Kapoor,preeti@email.com,Manish Kumar,Theft of Valuables,IPC 379,2023-11-13 16:45:00
JAYAS,AMETHI,26.2661092,81.5473014,FIR2024147,Sameer Khan,sameer@email.com,Kavita Patel,Physical Assault at Park,IPC 351,2023-11-14 10:15:00
MUNSHIGANJ,LUCKNOW,26.8466937,80.946166,FIR2024148,Kunal Das,kunal@email.com,Ritika Gupta,Burglary at Office,IPC 454,2023-11-14 19:30:00
NAUGAWAN SADAT,HAPUR,28.7305798,77.7758825,FIR2024149,Pooja Reddy,pooja@email.com,Manoj Kumar,Robbery at Gas Station,IPC 392,2023-11-15 08:40:00
DIDOLI,MORADABAD,28.8386481,78.7733286,FIR2024150,Naveen Menon,naveen@email.com,Swati Desai,Vehicle Theft,IPC 379,2023-11-15 17:20:00
GAJRAULA,AMROHA,28.8381644,78.2421812,FIR2024201,Suresh Gupta,suresh@email.com,Anil Kumar,Robbery at Jewelry Store,IPC 392,2023-10-22 09:30:00
GAJRAULA,AMROHA,28.8381644,78.2421812,FIR2024202,Priya Sharma,priya@email.com,Rahul Verma,Physical Assault in Public Place,IPC 351,2023-10-22 14:15:00
GAJRAULA,AMROHA,28.8381644,78.2421812,FIR2024203,Rakesh Das,rakesh@email.com,Sunita Gupta,Burglary at Residence,IPC 454,2023-10-23 17:45:00
HASANPUR,AMROHA,28.7237807,78.2846303,FIR2024204,Meenal Reddy,meenal@email.com,Arvind Desai,Robbery at Electronics Store,IPC 392,2023-10-23 08:20:00
NAUGAWAN SADAT,AMROHA,29.0041113,78.4041297,FIR2024205,Nisha Shah,nisha@email.com,Vikas Kumar,Vehicle Theft,IPC 379,2023-10-24 19:00:00
RAJABPUR,AMROHA,28.8366973,78.3771121,FIR2024206,Varun Rao,varun@email.com,Shilpa Singh,Assault at Market,IPC 351,2023-10-24 09:45:00
AMROHA DEHAT,AMROHA,28.9051778,78.467318,FIR2024207,Rajiv Mehta,rajiv@email.com,Kavita Verma,Robbery at Bank,IPC 392,2023-10-25 17:15:00
AMROHA DEHAT,AMROHA,28.9051778,78.467318,FIR2024208,Pankaj Verma,pankaj@email.com,Swati Sharma,Theft of Jewelry,IPC 379,2023-10-25 08:30:00
AMROHA DEHAT,AMROHA,28.9051778,78.467318,FIR2024209,Mohan Reddy,mohan@email.com,Lalitha Kumar,Robbery at ATM,IPC 392,2023-10-26 12:00:00
AMROHA NAGAR,AMROHA,28.9051778,78.467318,FIR2024210,Karan Kapoor,karan@email.com,Manisha Kumar,Burglary at Shop,IPC 454,2023-10-26 16:30:00
BACHHRAUN,AMROHA,28.9260272,78.2333743,FIR2024211,Anjali Khan,anjali@email.com,Rajesh Patel,Physical Assault at Mall,IPC 351,2023-10-27 10:45:00
AMROHA DEHAT,GAUTAM BUDH NAGAR,28.338333,77.6077865,FIR2024212,Rohit Das,rohit@email.com,Surbhi Gupta,Theft of Electronics,IPC 379,2023-10-27 19:30:00
AJITMAL,AURAIYA,26.5706587,79.3130972,FIR2024213,Raghav Reddy,raghav@email.com,Kavita Kumar,Robbery at Gas Station,IPC 392,2023-10-28 08:15:00
AURAIYA,AURAIYA,26.4605377,79.5112528,FIR2024214,Shilpa Rao,shilpa@email.com,Vivek Gupta,Vehicle Theft,IPC 379,2023-10-28 17:40:00
BELA,AURAIYA,26.8287377,79.6740663,FIR2024215,Aditya Shah,aditya@email.com,Ritu Singh,Assault in Public Place,IPC 351,2023-10-29 09:20:00
BELA,AURAIYA,26.8287377,79.6740663,FIR2024216,Ankit Mehta,ankit@email.com,Megha Sharma,Burglary at Warehouse,IPC 454,2023-10-29 18:55:00
BIDHUNA,AURAIYA,26.8030435,79.5055246,FIR2024217,Kunal Das,kunal@email.com,Neelam Mehta,Robbery at Supermarket,IPC 392,2023-10-30 11:30:00
SIDHARI,AZAMGARH,26.0487819,83.1930739,FIR2024218,Shantanu Das,shantanu@email.com,Neha Gupta,Theft of Valuables,IPC 379,2023-10-30 15:15:00
SIDHARI,AZAMGARH,26.0487819,83.1930739,FIR2024219,Ravi Kapoor,ravi@email.com,Manish Kumar,Physical Assault at Park,IPC 351,2023-10-31 07:40:00
SIDHARI,AZAMGARH,26.0487819,83.1930739,FIR2024220,Akshay Khan,akshay@email.com,Pratik Patel,Robbery at Jewelry Store,IPC 392,2023-10-31 16:25:00
SIDHARI,AZAMGARH,26.0487819,83.1930739,FIR2024221,Suraj Das,suraj@email.com,Sunita Gupta,Burglary at Residence,IPC 454,2023-11-01 10:10:00
KAPTANGANJ,AZAMGARH,26.191993,83.0978679,FIR2024222,Sneha Reddy,sneha@email.com,Krishna Kumar,Theft of Electronics,IPC 379,2023-11-01 19:45:00
ATRAULIA,AZAMGARH,26.3337289,82.9467948,FIR2024223,Raghav Menon,raghav@email.com,Priyanka Desai,Robbery at Bank,IPC 392,2023-11-02 08:30:00
JEANPUR,AZAMGARH,26.1545303,83.3321786,FIR2024224,Naveen Menon,naveen@email.com,Swati Desai,Vehicle Theft,IPC 379,2023-11-02 18:00:00
JEANPUR,AZAMGARH,26.1545303,83.3321786,FIR2024225,Pooja Reddy,pooja@email.com,Manoj Kumar,Assault in Market,IPC 351,2023-11-03 11:20:00
JEANPUR,AZAMGARH,26.1545303,83.3321786,FIR2024226,Anil Kumar,anil@email.com,Geeta Sharma,Burglary at Shop,IPC 454,2023-11-03 16:50:00
JAHANAGANJ,GHAZIPUR,25.9600981,83.2722763,FIR2024227,Alok Mehta,alok@email.com,Priya Sharma,Robbery at ATM,IPC 392,2023-11-04 09:10:00
JEANPUR,MAU,26.1545303,83.3321786,FIR2024228,Sameer Khan,sameer@email.com,Kavita Patel,Theft of Valuables,IPC 379,2023-11-04 18:35:00
JEANPUR,GORAKHPUR,26.7605545,83.3731675,FIR2024229,Preeti Kapoor,preeti@email.com,Manish Kumar,Physical Assault at Pub,IPC 351,2023-11-05 10:00:00
KAPTANGANJ,AMBEDKAR NAGAR,26.9270041,83.7137223,FIR2024230,Kriti Rao,kriti@email.com,Sanjay Gupta,Robbery at Jewelry Store,IPC 392,2023-11-05 17:30:00
BISAULI,BADAUN,28.2978317,78.9344814,FIR2024231,Shubham Reddy,shubham@email.com,Anita Kumar,Robbery at Electronics Store,IPC 392,2023-11-06 08:55:00
BISAULI,BADAUN,28.2978317,78.9344814,FIR2024232,Sneha Reddy,sneha@email.com,Krishna Kumar,Vehicle Theft,IPC 379,2023-11-06 19:20:00
ISLAM NAGAR,BADAUN,28.3288811,78.7239289,FIR2024233,Varun Rao,varun@email.com,Shilpa Singh,Assault at Market,IPC 351,2023-11-07 09:40:00
KOTWALI,BADAUN,28.0377973,79.1239564,FIR2024234,Rohan Shah,rohan@email.com,Shilpa Singh,Burglary at Warehouse,IPC 454,2023-11-07 16:15:00
UJHANI,FIROZABAD,27.1591961,78.3957331,FIR2024235,Alok Mehta,alok@email.com,Priya Sharma,Robbery at Supermarket,IPC 392,2023-11-08 11:10:00
BAGHPAT,BAGHPAT,28.9427827,77.227607,FIR2024236,Sandhya Verma,sandhya@email.com,Rajesh Yadav,Theft of Electronics,IPC 379,2023-11-08 15:45:00
CHHAPRAULI,BAGHPAT,29.209055,77.1772737,FIR2024237,Anju Kapoor,anju@email.com,Rahul Kumar,Physical Assault at Mall,IPC 351,2023-11-09 08:25:00
GRP BALLIYA,JAUNPUR,25.7464145,82.6837033,FIR2024238,Akshay Khan,akshay@email.com,Monica Patel,Robbery at Jewelry Store,IPC 392,2023-11-09 17:55:00
GRP BALLIYA,JAUNPUR,25.7464145,82.6837033,FIR2024239,Shantanu Das,shantanu@email.com,Neha Gupta,Theft of Valuables,IPC 379,2023-11-10 10:30:00
GRP BALLIYA,JAUNPUR,25.7464145,82.6837033,FIR2024240,Sneha Reddy,sneha@email.com,Vivek Kumar,Robbery at Electronics Store,IPC 392,2023-11-10 18:10:00
GRP BALLIYA,KANPUR CITY,26.449923,80.3318736,FIR2024241,Raghav Menon,raghav@email.com,Priyanka Desai,Robbery at Bank,IPC 392,2023-11-11 09:15:00
GRP BALLIYA,KANPUR CITY,26.449923,80.3318736,FIR2024242,Kriti Rao,kriti@email.com,Sanjay Gupta,Vehicle Theft,IPC 379,2023-11-11 19:50:00
GRP BALLIYA,BALLIA,28.2006882,79.3651914,FIR2024243,Rohan Shah,rohan@email.com,Shilpa Singh,Assault in Public Place,IPC 351,2023-11-12 08:50:00
GRP BALLIYA,BALLIA,28.2006882,79.3651914,FIR2024244,Alok Mehta,alok@email.com,Priya Sharma,Burglary at Shop,IPC 454,2023-11-12 17:35:00
GRP BALLIYA,BALLIA,28.2006882,79.3651914,FIR2024245,Sandhya Verma,sandhya@email.com,Rajesh Yadav,Robbery at ATM,IPC 392,2023-11-13 11:05:00
BANSDEEH,BALLIA,25.88233,84.2178944,FIR2024246,Preeti Kapoor,preeti@email.com,Manish Kumar,Theft of Valuables,IPC 379,2023-11-13 16:45:00
BAIRIA,BALLIA,25.767488,84.4820879,FIR2024247,Sameer Khan,sameer@email.com,Kavita Patel,Physical Assault at Park,IPC 351,2023-11-14 10:15:00
BAIRIA,BALLIA,25.767488,84.4820879,FIR2024248,Kunal Das,kunal@email.com,Ritika Gupta,Robbery at Office,IPC 392,2023-11-14 19:30:00
BAIRIA,BALLIA,25.767488,84.4820879,FIR2024249,Pooja Reddy,pooja@email.com,Manoj Kumar,Robbery at Gas Station,IPC 392,2023-11-15 08:40:00
DUBHAR,BALLIA,25.7488566,84.239734,FIR2024250,Naveen Menon,naveen@email.com,Swati Desai,Vehicle Theft,IPC 379,2023-11-15 17:20:00
DUBHAR,BALLIA,25.7488566,84.239734,FIR2024251,Varun Rao,varun@email.com,Kavita Gupta,Assault in Market,IPC 351,2023-11-16 11:30:00
GRP BALLIYA,GHAZIPUR,25.5877901,83.5783078,FIR2024252,Rajiv Mehta,rajiv@email.com,Swati Verma,Burglary at Warehouse,IPC 454,2023-11-16 16:55:00
GRP BALLIYA,GHAZIPUR,25.5877901,83.5783078,FIR2024253,Alok Mehta,alok@email.com,Priya Sharma,Robbery at Supermarket,IPC 392,2023-11-17 09:45:00
PAKARI,BALLIA,28.2006882,79.3651914,FIR2024254,Shantanu Das,shantanu@email.com,Neha Gupta,Theft of Electronics,IPC 379,2023-11-17 18:20:00
RASRA,BALLIA,25.8591065,83.855467,FIR2024255,Ravi Kapoor,ravi@email.com,Manish Kumar,Physical Assault at Mall,IPC 351,2023-11-18 07:50:00
SAHATWAR,BALLIA,25.8383497,84.3042333,FIR2024256,Akshay Khan,akshay@email.com,Pratik Patel,Robbery at Jewelry Store,IPC 392,2023-11-18 16:25:00
GRP BALLIYA,GHAZIPUR,25.5877901,83.5783078,FIR2024257,Suraj Das,suraj@email.com,Sunita Gupta,Burglary at Residence,IPC 454,2023-11-19 10:10:00
UBHAON,BALLIA,26.1348018,83.8651943,FIR2024258,Sneha Reddy,sneha@email.com,Krishna Kumar,Theft of Electronics,IPC 379,2023-11-19 19:45:00
GRP BALLIYA,FAIZABAD,26.7729751,82.1457934,FIR2024259,Raghav Menon,raghav@email.com,Priyanka Desai,Robbery at Bank,IPC 392,2023-11-20 08:30:00
GRP BALLIYA,FAIZABAD,26.7729751,82.1457934,FIR2024260,Naveen Menon,naveen@email.com,Swati Desai,Vehicle Theft,IPC 379,2023-11-20 18:00:00
GRP BALLIYA,ALLAHABAD,25.4358011,81.846311,FIR2024261,Pooja Reddy,pooja@email.com,Manoj Kumar,Assault in Public Place,IPC 351,2023-11-21 11:20:00
GRP BALLIYA,ALLAHABAD,25.4358011,81.846311,FIR2024262,Anil Kumar,anil@email.com,Geeta Sharma,Burglary at Shop,IPC 454,2023-11-21 16:50:00
GRP BALLIYA,ALLAHABAD,25.4358011,81.846311,FIR2024263,Alok Mehta,alok@email.com,Priya Sharma,Robbery at ATM,IPC 392,2023-11-22 09:10:00
GRP BALLIYA,ALLAHABAD,25.4358011,81.846311,FIR2024264,Sameer Khan,sameer@email.com,Kavita Patel,Theft of Valuables,IPC 379,2023-11-22 18:35:00
GRP BALLIYA,BARABANKI,26.683909,81.4841923,FIR2024265,Preeti Kapoor,preeti@email.com,Manish Kumar,Physical Assault at Pub,IPC 351,2023-11-23 10:00:00
GRP BALLIYA,MORADABAD,28.8386481,78.7733286,FIR2024266,Kriti Rao,kriti@email.com,Sanjay Gupta,Robbery at Jewelry Store,IPC 392,2023-11-23 17:30:00
GRP BALLIYA,MORADABAD,28.8386481,78.7733286,FIR2024267,Shubham Reddy,shubham@email.com,Anita Kumar,Robbery at Electronics Store,IPC 392,2023-11-24 08:55:00
GRP BALLIYA,MAU,25.9462838,83.5610119,FIR2024268,Sneha Reddy,sneha@email.com,Krishna Kumar,Vehicle Theft,IPC 379,2023-11-24 19:20:00
GRP BALLIYA,MAU,25.9462838,83.5610119,FIR2024269,Varun Rao,varun@email.com,Shilpa Singh,Assault at Market,IPC 351,2023-11-25 09:40:00
GRP BALLIYA,VARANASI,25.3176452,82.9739144,FIR2024270,Rohan Shah,rohan@email.com,Shilpa Singh,Burglary at Warehouse,IPC 454,2023-11-25 16:15:00
GRP BALLIYA,VARANASI,25.3176452,82.9739144,FIR2024271,Alok Mehta,alok@email.com,Priya Sharma,Robbery at Supermarket,IPC 392,2023-11-26 11:10:00
GRP BALLIYA,VARANASI,25.3176452,82.9739144,FIR2024272,Sandhya Verma,sandhya@email.com,Rajesh Yadav,Theft of Electronics,IPC 379,2023-11-26 15:45:00
GRP BALLIYA,VARANASI,25.3176452,82.9739144,FIR2024273,Anju Kapoor,anju@email.com,Rahul Kumar,Physical Assault at Mall,IPC 351,2023-11-27 08:25:00
GRP BALLIYA,VARANASI,25.3176452,82.9739144,FIR2024274,Akshay Khan,akshay@email.com,Monica Patel,Robbery at Jewelry Store,IPC 392,2023-11-27 17:55:00
GRP BALLIYA,VARANASI,25.3176452,82.9739144,FIR2024275,Shantanu Das,shantanu@email.com,Neha Gupta,Theft of Valuables,IPC 379,2023-11-28 10:30:00
GRP BALLIYA,VARANASI,25.3176452,82.9739144,FIR2024276,Sneha Reddy,sneha@email.com,Vivek Kumar,Robbery at Electronics Store,IPC 392,2023-11-28 18:10:00
GRP BALLIYA,VARANASI,25.3176452,82.9739144,FIR2024277,Raghav Menon,raghav@email.com,Priyanka Desai,Robbery at Bank,IPC 392,2023-11-29 09:15:00
GRP BALLIYA,AMBEDKAR NAGAR,26.3745075,82.6915429,FIR2024278,Kriti Rao,kriti@email.com,Sanjay Gupta,Vehicle Theft,IPC 379,2023-11-29 19:50:00
GRP BALLIYA,AMBEDKAR NAGAR,26.3745075,82.6915429,FIR2024279,Rohan Shah,rohan@email.com,Shilpa Singh,Assault in Public Place,IPC 351,2023-11-30 08:50:00
GRP BALLIYA,AMBEDKAR NAGAR,26.3745075,82.6915429,FIR2024280,Alok Mehta,alok@email.com,Priya Sharma,Burglary at Shop,IPC 454,2023-11-30 17:35:00
GIRWAN,BANDA,25.3097048,80.3853501,FIR2024281,Sandhya Verma,sandhya@email.com,Rajesh Yadav,Robbery at ATM,IPC 392,2023-12-01 11:05:00
BABERU,BALRAMPUR,27.4307473,82.1805203,FIR2024282,Preeti Kapoor,preeti@email.com,Manish Kumar,Theft of Valuables,IPC 379,2023-12-01 16:45:00
SAFDARGANJ,BARABANKI,26.9054317,81.3536914,FIR2024283,Sameer Khan,sameer@email.com,Kavita Patel,Physical Assault at Park,IPC 351,2023-12-02 10:15:00
CANTT,AGRA,27.1674119,78.005933,FIR2024284,Kunal Das,kunal@email.com,Ritika Gupta,Robbery at Office,IPC 392,2023-12-02 19:30:00
SUBHASH NAGAR,BALLIA,28.2006882,79.3651914,FIR2024285,Pooja Reddy,pooja@email.com,Manoj Kumar,Robbery at Gas Station,IPC 392,2023-12-03 08:40:00
BAHERHI,BAREILLY,28.7780401,79.4956974,FIR2024286,Naveen Menon,naveen@email.com,Swati Desai,Vehicle Theft,IPC 379,2023-12-03 17:20:00
IZAT NAGAR,BAREILLY,28.4025574,79.4245216,FIR2024287,Varun Rao,varun@email.com,Kavita Gupta,Assault in Market,IPC 351,2023-12-04 11:30:00
IZAT NAGAR,BAREILLY,28.4025574,79.4245216,FIR2024288,Rajiv Mehta,rajiv@email.com,Swati Verma,Burglary at Warehouse,IPC 454,2023-12-04 16:55:00
SUBHASH NAGAR,BAREILLY,28.3370271,79.4070856,FIR2024289,Alok Mehta,alok@email.com,Priya Sharma,Robbery at Supermarket,IPC 392,2023-12-05 09:45:00
KAPTANGANJ,BASTI,26.7431396,82.9353664,FIR2024290,Shantanu Das,shantanu@email.com,Neha Gupta,Theft of Electronics,IPC 379,2023-12-05 18:20:00
RUDHAULI,BASTI,27.0293632,82.8034614,FIR2024291,Ravi Kapoor,ravi@email.com,Manish Kumar,Physical Assault at Mall,IPC 351,2023-12-06 07:50:00
KOTWALI,AMBEDKAR NAGAR,26.5704569,82.3817192,FIR2024292,Akshay Khan,akshay@email.com,Pratik Patel,Robbery at Jewelry Store,IPC 392,2023-12-06 16:25:00
CHAURI,JAUNPUR,25.7464145,82.6837033,FIR2024293,Suraj Das,suraj@email.com,Sunita Gupta,Burglary at Residence,IPC 454,2023-12-07 10:10:00
CHAURI,JAUNPUR,25.7464145,82.6837033,FIR2024294,Sneha Reddy,sneha@email.com,Krishna Kumar,Theft of Electronics,IPC 379,2023-12-07 19:45:00
KOIRAUNA,ALLAHABAD,25.3106372,82.2806894,FIR2024295,Raghav Menon,raghav@email.com,Priyanka Desai,Robbery at Bank,IPC 392,2023-12-08 08:30:00
KOIRAUNA,ALLAHABAD,25.3106372,82.2806894,FIR2024296,Naveen Menon,naveen@email.com,Swati Desai,Vehicle Theft,IPC 379,2023-12-08 18:00:00
KOIRAUNA,MIRZAPUR,25.3106372,82.2806894,FIR2024297,Pooja Reddy,pooja@email.com,Manoj Kumar,Assault in Public Place,IPC 351,2023-12-09 11:20:00
CHAURI,VARANASI,25.3176452,82.9739144,FIR2024298,Anil Kumar,anil@email.com,Geeta Sharma,Burglary at Shop,IPC 454,2023-12-09 16:50:00
AURAI,BHADOHI,25.2666462,82.5605124,FIR2024299,Alok Mehta,alok@email.com,Priya Sharma,Robbery at ATM,IPC 392,2023-12-10 09:10:00
BHADOHI,BHADOHI,25.3804531,82.5676981,FIR2024300,Sameer Khan,sameer@email.com,Kavita Patel,Theft of Valuables,IPC 379,2023-12-10 18:35:00
GOPIGANJ,BHADOHI,25.2858561,82.4322347,FIR2024701,Ashok Sharma,ashok@email.com,Amit Patel,Theft of Mobile Phone,IPC 379,2024-03-22 09:30:00
GOPIGANJ,BHADOHI,25.2858561,82.4322347,FIR2024702,Ramesh Verma,ramesh@email.com,Vinay Kumar,Physical Assault,IPC 351,2024-03-22 14:15:00
GOPIGANJ,BHADOHI,25.2858561,82.4322347,FIR2024703,Radha Menon,radha@email.com,Gopal Singh,Domestic Violence,Protection of Women from Domestic Violence Act,2024-03-23 17:45:00
KOIRAUNA,BHADOHI,25.3106372,82.2806894,FIR2024704,Naveen Yadav,naveen@email.com,Rani Devi,Burglary,IPC 454,2024-03-24 08:20:00
KOIRAUNA,BHADOHI,25.3106372,82.2806894,FIR2024705,Prakash Verma,prakash@email.com,Lalita Kumari,Robbery,IPC 392,2024-03-25 19:00:00
UNJ,BHADOHI,25.3804531,82.5676981,FIR2024706,Anjali Sharma,anjali@email.com,Mohan Singh,Identity Theft,IPC 420,2024-03-26 22:30:00
